Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,class
CHEMBL3815078,250.31,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800.0,intermediate
CHEMBL4070462,306.41,CC(C)Nc1nc(NCCc2ccccc2)c2ccccc2n1,3800.0,intermediate
CHEMBL3911126,361.4,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,520.0,active
CHEMBL3943188,434.49,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(F)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,4.8,active
CHEMBL3667026,548.39,O=C(O)CCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1,1300.0,intermediate
CHEMBL140,368.39,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,18730.0,inactive
CHEMBL2146608,692.63,COC(=O)[C@]1(O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1,3000.0,intermediate
CHEMBL195970,313.15,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,94000.0,inactive
CHEMBL3814103,264.33,Cc1cccc(CNc2nc(N)c3ccccc3n2)c1,25000.0,inactive
CHEMBL3813971,264.33,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,25000.0,inactive
CHEMBL4475538,528.68,CN1c2ccccc2Sc2cc(/C=C3/SC(=S)N(CC(=O)OCC4COC(C)(C)O4)C3=O)ccc21,60.0,active
CHEMBL4440350,546.71,CN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(C)Cc2ccccc2)cc1O)Cc1ccccc1,3550.0,intermediate
CHEMBL4527242,574.77,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2)cc1O)Cc1ccccc1,3860.0,intermediate
CHEMBL4474151,606.76,COc1ccccc1CN(C)CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(C)Cc2ccccc2OC)cc1O,3450.0,intermediate
CHEMBL6246,302.19,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,300000.0,inactive
CHEMBL3087680,819.01,C[C@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,4430.0,intermediate
CHEMBL2063873,469.78,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,13000.0,inactive
CHEMBL291426,538.46,O=c1cc(-c2ccc(Oc3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)cc2)oc2cc(O)cc(O)c12,9500.0,intermediate
CHEMBL208988,566.52,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,50000.0,inactive
CHEMBL2059393,416.52,CN(C)c1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(N(C)C)c(O)c3)c2)cc1O,3300.0,intermediate
CHEMBL4463033,566.52,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,17300.0,inactive
CHEMBL4536141,580.55,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)c3o2)cc1,50000.0,inactive
CHEMBL3741909,250.3,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,19500.0,inactive
CHEMBL4226831,405.5,COc1ccc(CCC(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1,18280.0,inactive
CHEMBL3742311,188.23,CC1=NN(c2cccc(C)c2)C(=O)C1,50000.0,inactive
