,Molecule ChEMBL ID,Molecular Weight,Smiles,pIC50,class,LogP,NumHDonors,NumHAcceptors
2,CHEMBL3911126,361.4,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,6.2839966563652006,active,4.137000000000002,2.0,4.0
3,CHEMBL3943188,434.49,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(F)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,8.318758762624412,active,4.619480000000006,1.0,5.0
5,CHEMBL140,368.39,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.727462222624762,inactive,3.3699000000000026,2.0,6.0
7,CHEMBL195970,313.15,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.026872146400302,inactive,4.987600000000002,1.0,1.0
8,CHEMBL3814103,264.33,Cc1cccc(CNc2nc(N)c3ccccc3n2)c1,4.6020599913279625,inactive,3.1325200000000013,2.0,4.0
9,CHEMBL3813971,264.33,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,4.6020599913279625,inactive,3.1325200000000004,2.0,4.0
10,CHEMBL4475538,528.68,CN1c2ccccc2Sc2cc(/C=C3/SC(=S)N(CC(=O)OCC4COC(C)(C)O4)C3=O)ccc21,7.221848749616356,active,4.815000000000005,0.0,9.0
14,CHEMBL6246,302.19,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,3.5228787452803374,inactive,1.3127999999999997,4.0,8.0
16,CHEMBL2063873,469.78,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,4.886056647693163,inactive,6.212220000000004,2.0,4.0
18,CHEMBL208988,566.52,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.301029995663981,inactive,5.740000000000006,4.0,10.0
20,CHEMBL4463033,566.52,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,4.761953896871205,inactive,5.7400000000000055,4.0,10.0
21,CHEMBL4536141,580.55,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc5oc(-c6ccc(O)cc6)cc(=O)c5c4O)c3o2)cc1,4.301029995663981,inactive,6.043000000000006,3.0,10.0
22,CHEMBL3741909,250.3,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,4.709965388637482,inactive,3.4662000000000024,0.0,2.0
23,CHEMBL4226831,405.5,COc1ccc(CCC(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1,4.738023808602187,inactive,3.2260000000000018,1.0,5.0
24,CHEMBL3742311,188.23,CC1=NN(c2cccc(C)c2)C(=O)C1,4.301029995663981,inactive,2.10762,0.0,2.0
25,CHEMBL3741408,206.22,CC1=NN(c2ccc(C)c(F)c2)C(=O)C1,4.301029995663981,inactive,2.24672,0.0,2.0
26,CHEMBL193900,312.17,CC(C(N)=O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,4.920818753952375,inactive,4.388300000000002,1.0,1.0
28,CHEMBL3667039,452.38,COC(=O)CCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccco1,6.187086643357144,active,4.318000000000003,1.0,7.0
29,CHEMBL247932,428.58,COc1cc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)c(OC)c3)c2)ccc1N(C)C,6.0,active,6.176600000000008,0.0,4.0
30,CHEMBL2408098,351.4,COc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCCC3)cc2)c(O)c1,4.835647144215563,inactive,3.5329000000000024,1.0,4.0
31,CHEMBL3403826,745.1,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CC(C)(C)O)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,7.0655015487564325,active,5.722000000000007,3.0,9.0
32,CHEMBL140,368.39,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.727462222624762,inactive,3.3699000000000026,2.0,6.0
34,CHEMBL4513568,580.55,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3o2)cc1,4.341035157335565,inactive,6.043000000000006,3.0,10.0
35,CHEMBL424684,574.69,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(C(F)(F)F)cc3)c2)C1=O,7.522878745280337,active,6.0102000000000055,3.0,4.0
36,CHEMBL3672729,374.88,CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,7.795880017344075,active,4.589580000000003,1.0,4.0
37,CHEMBL4453548,459.51,CCOC(=O)c1cnc2ccccc2c1N1CCN(CC(=O)Nc2n[nH]c3ncccc23)CC1,4.803547458296611,inactive,2.4435000000000002,2.0,8.0
38,CHEMBL1208904,580.55,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4O)c3o2)cc1,4.301029995663981,inactive,6.043000000000006,3.0,10.0
40,CHEMBL4522982,566.52,COc1ccc(-c2cc(=O)c3c(O)c(Oc4ccc(-c5cc(=O)c6c(O)cc(O)cc6o5)cc4)c(OC)cc3o2)cc1,4.301029995663981,inactive,6.159700000000006,3.0,10.0
41,CHEMBL28,270.24,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.301029995663981,inactive,2.576800000000001,3.0,5.0
