Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
ExtraTreeRegressor,0.9646170785732654,0.9705925624574767,0.2308951407239671,0.04773426055908203
DecisionTreeRegressor,0.9646170785732654,0.9705925624574767,0.2308951407239671,0.13654589653015137
ExtraTreesRegressor,0.9646170785732654,0.9705925624574767,0.2308951407239671,2.5279510021209717
GaussianProcessRegressor,0.9645964719960293,0.9705754359283887,0.23096236617930666,0.44892120361328125
XGBRegressor,0.9634402981706381,0.9696145172651603,0.23470334091221898,0.21978330612182617
RandomForestRegressor,0.938218718380883,0.9486523693564075,0.3051029492584236,2.084951400756836
MLPRegressor,0.9278629489160238,0.9400454869548737,0.32968344635204283,5.096470594406128
HistGradientBoostingRegressor,0.9278145765276229,0.9400052837174551,0.3297939644763066,0.8190104961395264
BaggingRegressor,0.926707131097925,0.939084864176264,0.3323141315612898,0.4246532917022705
LGBMRegressor,0.8840728311257632,0.9036506641994009,0.4179367527310711,0.2181248664855957
SVR,0.8345446558934981,0.8624868297558865,0.4992963010783148,0.3187294006347656
NuSVR,0.8266157468906126,0.8558969585162965,0.5111198822806371,0.3142521381378174
GradientBoostingRegressor,0.8123240318804346,0.8440188348455984,0.531768100553008,0.7389233112335205
KNeighborsRegressor,0.8011402460394051,0.8347237718505872,0.5473831166212612,0.06064248085021973
TransformedTargetRegressor,0.7310674799823795,0.7764849264369682,0.6365603880761193,0.04616546630859375
LinearRegression,0.7310674799823795,0.7764849264369682,0.6365603880761193,0.11293816566467285
Ridge,0.7263969573118896,0.7726031637620638,0.6420641337044378,0.11253499984741211
RidgeCV,0.7054900612015256,0.7552270337879853,0.6661437029146352,0.1319739818572998
HuberRegressor,0.701937372697337,0.7522743249363066,0.6701495213657289,0.135267972946167
BayesianRidge,0.6895825840483764,0.7420060186208517,0.6838974568777477,0.38710975646972656
ElasticNetCV,0.6895387482791109,0.7419695858562629,0.6839457436543168,3.0521795749664307
SGDRegressor,0.6863101634839905,0.7392862459316658,0.6874928297915729,0.06097984313964844
LinearSVR,0.68482069314164,0.738048318019048,0.6891230826602431,0.5442008972167969
LassoCV,0.6809056827853601,0.7347944763946637,0.693389856354254,2.433155059814453
PoissonRegressor,0.6234443740562909,0.6870372596520976,0.7532385165753656,0.0948495864868164
AdaBoostRegressor,0.6081999732805593,0.6743673402217931,0.7683342263032055,0.6669480800628662
OrthogonalMatchingPursuitCV,0.5362282864402738,0.6145502646315748,0.8359303192103459,0.05536603927612305
OrthogonalMatchingPursuit,0.5362282864402738,0.6145502646315748,0.8359303192103459,0.03192472457885742
LassoLarsIC,0.5203938758234021,0.6013899764907972,0.8500809993798375,0.19945883750915527
LassoLarsCV,0.5170503518808327,0.5986111083943164,0.8530389784205448,0.09300851821899414
GammaRegressor,0.5006280163540529,0.5849621843701616,0.8674212071881346,0.03830862045288086
TweedieRegressor,0.5002593787445861,0.5846558024480621,0.8677413143425259,0.0341641902923584
PassiveAggressiveRegressor,0.42619917357178716,0.5231029184524532,0.9298192515018197,0.03773760795593262
LarsCV,0.10188550836206056,0.25355949271837297,1.1632787670815956,0.48484182357788086
DummyRegressor,-0.20319634703196354,0.0,1.3464375082941389,0.0269472599029541
ElasticNet,-0.20319634703196354,0.0,1.3464375082941389,0.026432514190673828
Lasso,-0.20319634703196354,0.0,1.3464375082941389,0.03286910057067871
LassoLars,-0.20319634703196354,0.0,1.3464375082941389,0.027102947235107422
QuantileRegressor,-0.31339377861154727,-0.09158723914963507,1.4067451498944066,0.3951396942138672
RANSACRegressor,-0.5254282244030832,-0.2678132111737199,1.516051093363396,0.8513932228088379
KernelRidge,-21.105348046556028,-17.37218680150197,5.771206680857222,0.22137069702148438
Lars,-4.947459267257456e+22,-4.111930093090637e+22,273029178753.6698,0.15494942665100098
